protocol,subset,condition,fold,held_out,lambda,train_median_err_pct,n_train_views
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,12,brics-odroid-012_cam1,10.0,9.7117,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,12,brics-odroid-012_cam1,10.0,8.9621,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,13,brics-odroid-014_cam1,0.01,9.9311,104
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,13,brics-odroid-014_cam1,10.0,9.701,104
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,13,brics-odroid-014_cam1,10.0,8.9164,104
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,14,brics-odroid-015_cam0,0.01,9.9311,104
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,14,brics-odroid-015_cam0,10.0,9.701,104
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,14,brics-odroid-015_cam0,10.0,8.9164,104
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,15,brics-odroid-015_cam1,10.0,8.2738,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,15,brics-odroid-015_cam1,0.01,8.6486,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,15,brics-odroid-015_cam1,3.0,8.3829,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,16,brics-odroid-016_cam0,3.0,10.2057,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,16,brics-odroid-016_cam0,10.0,9.7885,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,16,brics-odroid-016_cam0,10.0,9.0367,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,17,brics-odroid-017_cam0,10.0,10.2248,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,17,brics-odroid-017_cam0,10.0,9.8254,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,17,brics-odroid-017_cam0,10.0,9.2302,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,18,brics-odroid-017_cam1,10.0,10.2248,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,18,brics-odroid-017_cam1,10.0,9.8254,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,18,brics-odroid-017_cam1,10.0,9.2674,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,19,brics-odroid-019_cam1,0.01,10.1095,104
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,19,brics-odroid-019_cam1,10.0,9.7501,104
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,19,brics-odroid-019_cam1,10.0,8.9994,104
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,20,brics-odroid-020_cam0,0.01,9.8709,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,20,brics-odroid-020_cam0,10.0,9.6903,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,20,brics-odroid-020_cam0,10.0,8.8706,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,21,brics-odroid-020_cam1,10.0,9.4881,104
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,21,brics-odroid-020_cam1,0.01,9.6387,104
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,21,brics-odroid-020_cam1,10.0,8.9164,104
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,22,brics-odroid-021_cam0,10.0,8.2738,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,22,brics-odroid-021_cam0,0.01,8.6486,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,22,brics-odroid-021_cam0,3.0,8.3829,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,23,brics-odroid-021_cam1,10.0,9.4881,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,23,brics-odroid-021_cam1,0.01,9.6387,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,23,brics-odroid-021_cam1,10.0,8.7571,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,25,brics-odroid-022_cam1,0.01,9.8709,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,25,brics-odroid-022_cam1,10.0,9.6903,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,25,brics-odroid-022_cam1,10.0,8.8706,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,26,brics-odroid-023_cam0,10.0,10.2248,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,26,brics-odroid-023_cam0,10.0,9.8254,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,26,brics-odroid-023_cam0,10.0,9.2674,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,27,brics-odroid-024_cam0,10.0,8.888,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,27,brics-odroid-024_cam0,0.01,9.4068,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,27,brics-odroid-024_cam0,10.0,8.6435,101
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,28,brics-odroid-024_cam1,10.0,9.4881,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,28,brics-odroid-024_cam1,0.01,9.6387,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,28,brics-odroid-024_cam1,10.0,8.6032,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,29,brics-odroid-025_cam0,10.0,8.888,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,29,brics-odroid-025_cam0,0.01,9.4068,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,29,brics-odroid-025_cam0,10.0,8.6435,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,30,brics-odroid-025_cam1,0.01,9.9311,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,30,brics-odroid-025_cam1,10.0,9.701,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,30,brics-odroid-025_cam1,10.0,8.9164,102
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,31,brics-odroid-026_cam0,0.01,9.9913,105
