condition,sequence,camera,physical_camera_id,L_hand_max_px,preferred_q,boundary,correct_direction,f_scene,f_reference
N1,p36-tea-0010,brics-odroid-024_cam0,brics-odroid-024_cam0,1.5727638006210327,1.5,1,1,814.3241577148438,931.895264
N1,p36-tea-0010,brics-odroid-024_cam1,brics-odroid-024_cam1,2.8556843996047974,1.1319544315338135,0,1,852.5800476074219,951.805908
N1,p36-tea-0010,brics-odroid-025_cam0,brics-odroid-025_cam0,0.6938021183013916,1.4593626260757446,0,1,651.0626220703125,913.867126
N1,p36-tea-0010,brics-odroid-025_cam1,brics-odroid-025_cam1,1.3082655668258667,1.0282076597213745,0,1,810.9700317382812,879.872681
N1,p36-tea-0010,brics-odroid-026_cam0,brics-odroid-026_cam0,7.165664732456207,1.0862677097320557,0,1,853.7727661132812,921.928467
N1,p36-tea-0010,brics-odroid-026_cam1,brics-odroid-026_cam1,1.4725565910339355,1.1319544315338135,0,1,882.5094299316406,927.79425
N1,p36-tea-0010,brics-odroid-027_cam0,brics-odroid-027_cam0,1.6460661888122559,0.7975291013717651,0,1,927.6569213867188,917.449829
N1,p36-tea-0010,brics-odroid-027_cam1,brics-odroid-027_cam1,0.77937912940979,1.4394587278366089,0,1,788.4136352539062,919.998901
N1,p36-tea-0010,brics-odroid-028_cam0,brics-odroid-028_cam0,4.595376968383789,0.7497361898422241,0,0,815.2188110351562,919.052307
N1,p36-tea-0010,brics-odroid-029_cam0,brics-odroid-029_cam0,8.552685141563416,0.5,1,1,1006.9344177246094,907.913086
N1,p36-tea-0010,brics-odroid-029_cam1,brics-odroid-029_cam1,0.532522439956665,0.6446207761764526,0,0,801.7279663085938,905.857727
N1,p36-tea-0010,brics-odroid-030_cam0,brics-odroid-030_cam0,1.3832058906555176,1.0788346529006958,0,1,742.5394897460938,930.997131
N1,p36-tea-0010,brics-odroid-030_cam1,brics-odroid-030_cam1,5.034983992576599,0.7653401494026184,0,0,749.2306823730469,907.045105
N1,p41-boxing-0021,brics-odroid-001_cam1,brics-odroid-001_cam1,523.4960460662842,1.220762014389038,0,1,846.1591186523438,918.354065
N1,p41-boxing-0021,brics-odroid-002_cam0,brics-odroid-002_cam0,516.2094738483429,1.1012879610061646,0,1,852.9806213378906,940.340637
