condition,sequence,camera,physical_camera_id,f_scene_only,f_reference,f_lam_0.01,f_lam_0.03,f_lam_0.1,f_lam_0.3,f_lam_1.0,f_lam_3.0,f_lam_10.0
N4,p36-tea-0010,brics-odroid-015_cam1,brics-odroid-015_cam1,794.5360420266629,930.794434,794.5397609770253,794.547198715917,794.5732291029062,794.6475870761312,794.9076702190237,795.6493127467919,798.2283288226022
N4,p36-tea-0010,brics-odroid-016_cam0,brics-odroid-016_cam0,948.8801643148273,919.84082,948.8838412793008,948.8911951504192,948.9169330921545,948.990464864468,949.2477653660187,949.9823896805917,952.547492100778
N4,p36-tea-0010,brics-odroid-017_cam0,brics-odroid-017_cam0,877.2437784375387,921.894775,877.2436705591579,877.2434549226471,877.2427014551599,877.2405594355649,877.2331855022658,877.2131186760508,877.1527929565027
N4,p36-tea-0010,brics-odroid-017_cam1,brics-odroid-017_cam1,865.5918614748437,938.321167,865.5923064655111,865.5931961309572,865.5963066471045,865.6051655368024,865.6358452383361,865.7207964443778,865.989806058979
N4,p36-tea-0010,brics-odroid-019_cam1,brics-odroid-019_cam1,934.0149293545147,920.925659,934.0197367195736,934.0293633074918,934.0631813854201,934.1608889857549,934.5160438217075,935.6590673104207,945.8169850990208
N4,p36-tea-0010,brics-odroid-020_cam0,brics-odroid-020_cam0,828.3357259746956,899.424316,828.3484427037836,828.3739390592476,828.4638422004465,828.7265555559962,829.7201986842391,832.9712252214072,873.1075267516985
N4,p36-tea-0010,brics-odroid-020_cam1,brics-odroid-020_cam1,798.2892465201471,925.858521,798.2818663827712,798.2671062663013,798.2154475205969,798.0678653488484,797.5514939086358,796.0775705195239,790.9368855418029
N4,p36-tea-0010,brics-odroid-021_cam0,brics-odroid-021_cam0,831.4344809795211,938.355225,831.443720176657,831.4621916220024,831.5267688083131,831.7106526958546,832.3470726165865,834.1060802465083,840.2268507857975
N4,p36-tea-0010,brics-odroid-021_cam1,brics-odroid-021_cam1,779.1639405913166,920.78302,779.1661966599297,779.1707084680047,779.1864963410317,779.2315749542224,779.389005631568,779.8358756241854,781.3665014256334
N4,p36-tea-0010,brics-odroid-022_cam0,brics-odroid-022_cam0,823.7421588992974,916.312195,823.7449188105446,823.7504385454702,823.7697566982775,823.8249435409003,824.0180056060085,824.5688250943197,826.4875637701598
N4,p36-tea-0010,brics-odroid-022_cam1,brics-odroid-022_cam1,835.8916955104934,903.016357,835.8954978240266,835.9031042945433,835.9297463132095,836.0060328009037,836.2749925773952,837.0606266040495,839.5113216230169
N4,p36-tea-0010,brics-odroid-023_cam0,brics-odroid-023_cam0,867.6093786441263,914.887695,867.6106683559073,867.6132476971522,867.6222745272602,867.6480580648657,867.7382141371924,867.9950653926988,868.8855280721999
N4,p36-tea-0010,brics-odroid-024_cam0,brics-odroid-024_cam0,814.3241897784673,931.895264,814.3210452794021,814.3147568258088,814.2927529542317,814.2299337030868,814.010635854531,813.3889118094753,811.2682745691188
N4,p36-tea-0010,brics-odroid-024_cam1,brics-odroid-024_cam1,852.580081177354,951.805908,852.5873817006542,852.6018719914251,852.6514539662202,852.7840635912004,853.163379721961,853.8245864093466,854.6430737347325
N4,p36-tea-0010,brics-odroid-025_cam0,brics-odroid-025_cam0,651.0626477055922,913.867126,651.0808883065537,651.1173584705203,651.2448882619179,651.6082695494799,652.8686705107594,654.9152229501213,656.8185895540275
N4,p36-tea-0010,brics-odroid-025_cam1,brics-odroid-025_cam1,810.97006366984,879.872681,810.9404774850482,810.881858367082,810.682323415223,810.1564731093264,808.7124043661024,806.6342987321672,804.614157313075
N4,p36-tea-0010,brics-odroid-026_cam0,brics-odroid-026_cam0,853.7727997301757,921.928467,853.7723827128426,853.7715486757381,853.7686295202693,853.760288856613,853.7310939732121,853.64765806653,853.3553760246198
N4,p36-tea-0010,brics-odroid-026_cam1,brics-odroid-026_cam1,882.5094646800264,927.79425,882.5106730686938,882.5130898070695,882.5215479823225,882.5457106916451,882.630239295798,882.8713997486315,883.7114008596366
N4,p36-tea-0010,brics-odroid-027_cam0,brics-odroid-027_cam0,927.6569579127653,917.449829,927.6641243669868,927.6784577186988,927.7286291044616,927.8720158303524,928.3743354251337,929.8135404326146,934.8956021538958
N4,p36-tea-0010,brics-odroid-027_cam1,brics-odroid-027_cam1,788.4136662973157,919.998901,788.4332577003701,788.4724385062143,788.6095503268397,789.0011184602456,790.3695106441837,794.2614127522136,807.6822583129605
N4,p36-tea-0010,brics-odroid-028_cam0,brics-odroid-028_cam0,815.2188431340077,919.052307,815.1142452879615,814.908202502768,814.2185516827057,812.5315130466802,810.0638316353643,808.2303020725279,639.6869399369965
N4,p36-tea-0010,brics-odroid-029_cam0,brics-odroid-029_cam0,1006.9344573721727,907.913086,1006.9133725502548,1006.871198815623,1006.7235477776419,1006.3013190489796,1004.8192048760495,1000.546793940293,551.8463716703493
N4,p36-tea-0010,brics-odroid-029_cam1,brics-odroid-029_cam1,801.7279978762488,905.857727,801.7264382641938,801.7233190217004,801.712401479938,801.6812068487984,801.572006331898,801.2598392720055,800.1653193750362
N4,p36-tea-0010,brics-odroid-030_cam0,brics-odroid-030_cam0,742.5395189832329,930.997131,742.53897513646,742.537887423283,742.5340802210145,742.5232007329519,742.485101894243,742.3760709279121,741.9923837771549
N4,p36-tea-0010,brics-odroid-030_cam1,brics-odroid-030_cam1,749.2307118736481,907.045105,749.258782954792,749.3149054254884,749.5111275506912,750.0699979358365,752.0056901650448,755.7043156349599,759.340984508526
N4,p41-boxing-0021,brics-odroid-001_cam1,brics-odroid-001_cam1,846.1591519694568,918.354065,846.1974177949302,846.274055394383,846.543404597792,847.3226829298804,850.8214050040185,917.6894176464955,994.4993146849422
N4,p41-boxing-0021,brics-odroid-002_cam0,brics-odroid-002_cam0,852.9806549235965,940.340637,852.9982152239801,853.0342419183216,853.1707199256341,853.6785797925489,857.6852951052639,1007.1165805380301,1085.1085846236288
