feature,group,target,spearman_rho,ci_lo_camera_cluster,ci_hi_camera_cluster,ci_excludes_zero,naive_p,n_views,deployable,evidence,bh_fdr_q_descriptive
self_pred_focal_log_iqr,F_MODEL_SELF,abs_log_bias,0.04476936856247202,-0.09824858742980323,0.18407364304704552,0,0.5563350515007046,175,yes,ASSOCIATION only - no causal claim,0.7796624619327
self_pred_k1,F_MODEL_SELF,signed_log_bias,-0.6319838781907747,-0.7708168133047955,-0.4619293457484683,1,6.688549010419125e-21,175,yes,ASSOCIATION only - no causal claim,9.363968614586774e-20
self_pred_k1,F_MODEL_SELF,abs_log_bias,0.5874272279444693,0.40963390786891646,0.7308879740978935,1,1.2869440295321282e-17,175,yes,ASSOCIATION only - no causal claim,1.8017216413449794e-16
self_pred_k2,F_MODEL_SELF,signed_log_bias,0.7021115091804747,0.5401543354130057,0.8340542046090946,1,2.6271001029397906e-27,175,yes,ASSOCIATION only - no causal claim,5.51691021617356e-26
self_pred_k2,F_MODEL_SELF,abs_log_bias,-0.6625145544111062,-0.8023247599372058,-0.4929532268448189,1,1.7711303587278978e-23,175,yes,ASSOCIATION only - no causal claim,3.7193737533285854e-22
self_pred_k1_iqr,F_MODEL_SELF,signed_log_bias,0.14516121809225258,0.002871286979926549,0.2820369859039473,1,0.0552753685983852,175,yes,ASSOCIATION only - no causal claim,0.17942632574671194
self_pred_k1_iqr,F_MODEL_SELF,abs_log_bias,-0.12338557993730408,-0.26194353143509436,0.02089716535084829,0,0.1037875270361516,175,yes,ASSOCIATION only - no causal claim,0.24217089641768708
self_pp_offset_norm,F_MODEL_SELF,signed_log_bias,0.104435736677116,-0.11020968287661335,0.3041730972797449,0,0.16900181481399681,175,yes,ASSOCIATION only - no causal claim,0.33800362962799363
self_pp_offset_norm,F_MODEL_SELF,abs_log_bias,-0.12720107478728168,-0.3421171932816828,0.0950220915813703,0,0.09344983405873483,175,yes,ASSOCIATION only - no causal claim,0.24217089641768708
self_pp_offset_iqr,F_MODEL_SELF,signed_log_bias,0.03866771159874608,-0.13669596589137525,0.21671912715511224,0,0.6114182828500776,175,yes,ASSOCIATION only - no causal claim,0.8352951607230397
self_pp_offset_iqr,F_MODEL_SELF,abs_log_bias,-0.026464397671294226,-0.20296665006787268,0.14772536155513827,0,0.72810825663886,175,yes,ASSOCIATION only - no causal claim,0.9266832357221855
self_fx_over_fy,F_MODEL_SELF,signed_log_bias,0.22329153605015672,-0.012649862713712825,0.4352062057957157,0,0.002975128894914289,175,yes,ASSOCIATION only - no causal claim,0.021601145472610578
self_fx_over_fy,F_MODEL_SELF,abs_log_bias,-0.20383116883116884,-0.4039637705758725,0.02006439553383565,0,0.006818660215542943,175,yes,ASSOCIATION only - no causal claim,0.04773062150880059
disagree_abs_log_any_vs_geo,MODEL_DISAGREEMENT,signed_log_bias,-0.22246753246753248,-0.40275163138550657,-0.02949779803726707,1,0.0030858779246586542,175,yes,ASSOCIATION only - no causal claim,0.021601145472610578
disagree_abs_log_any_vs_geo,MODEL_DISAGREEMENT,abs_log_bias,0.22675324675324676,0.042676595916412145,0.38975402781362933,1,0.0025480813365865666,175,yes,ASSOCIATION only - no causal claim,0.026754854034158948
disagree_signed_log_any_vs_geo,MODEL_DISAGREEMENT,signed_log_bias,0.20598522167487687,0.024875282633178328,0.37314801325524277,1,0.006241988688857969,175,yes,ASSOCIATION only - no causal claim,0.03745193213314781
disagree_signed_log_any_vs_geo,MODEL_DISAGREEMENT,abs_log_bias,-0.20520600089565608,-0.3559521664817753,-0.03982817347127304,1,0.006445369643272808,175,yes,ASSOCIATION only - no causal claim,0.04773062150880059
disagree_log_iqr,MODEL_DISAGREEMENT,signed_log_bias,-0.13986341244961936,-0.31733329995018444,0.05660010995985004,0,0.0648858292671308,175,yes,ASSOCIATION only - no causal claim,0.1816803219479662
disagree_log_iqr,MODEL_DISAGREEMENT,abs_log_bias,0.15691222570532917,-0.026863181977917816,0.32022673108657995,0,0.03810332055301251,175,yes,ASSOCIATION only - no causal claim,0.13336162193554377
